,alpha-2 code,Countries,Emergency,Police,Ambulance,Fire,Continental Region,Calling_codes,Local_emergency_no
0,🇦🇫,Afghanistan,-,119,"119, 102","112, 119",Asia,+93,You can dial 020 112 from mobile but only in Kabul.
1,🇦🇱,Albania,-,129,127,128,Europe,+355,-
2,🇩🇿,Algeria,-,17,14,14,Africa,+213,Dial 1548 for tourist police.
3,🇦🇸,American Samoa,911,-,-,-,Oceania,+1 684,-
4,🇦🇩,Andorra,112,110,118,118,Europe,+376,-
5,🇦🇴,Angola,-,113,112 or 116,115,Africa,+244,-
6,🇦🇮,Anguilla,911,-,-,-,"British, Caribbean",+1 264,"Local Anguilla emergency numbers:
Crime victims: +(264) 497 2333
Local Hospital: +(264) 497 2551."
7,🇦🇬,Antigua & Barbuda,911 or 999 or 777,-,-,-,"Caribbean, North America",+1 268,"Local Antigua & Barbuda emergency numbers:
Paramedic Ambulance: +1 (268) 462-0251
Coast Guard: +1 (268) 462-0671."
8,🇦🇷,Argentina,911,101,107,100,South America,+54,"Calls to 112 from mobile phones are redirected to the 911 number. Local Argentina emergency numbers:
Tourist police: 0800-999-5000 / 0800-999-2838 (English is spoken)."
9,🇦🇲,Armenia,911 or 112,102,103,101,"Europe, Asia",+374,112 and 911 numbers are worldwide recognized emergency numbers.
10,🇦🇼,Aruba,911,-,-,-,"Caribbean, North America",+297,-
11,🇸🇭,Ascension Island,999,-,-,-,South Atlantic Ocean,+247,"Ascension Island is part of the part of the British Overseas Territory of Saint Helena, Ascension and Tristan da Cunha."
12,🇦🇺,Australia,000,-,-,-,"Australia, Oceania",+61,"Known as “Triple Zero”. The operator asks “Police, Fire, Ambulance?”. Secondary Australia emergency numbers:
112 works from most mobiles
132 500 for State Emergency Service (SES)."
13,🇦🇹,Austria,112,"112, 133",144,122,"EU, Europe",+43,"Useful Austrian local emergency numbers:
140 Mountain rescue
159 133 Non-emergency police."
14,🇦🇿,Azerbaijan,-,102,103,101,"Asia, Europe",+94,-
15,🇧🇸,"Bahamas, The","911 or 919
112 mobiles",-,-,-,"Caribbean, North America",+1 242,-
16,🇧🇭,Bahrain,999 or 112 mobiles,-,-,-,Asia,+973,"Dial 199 for traffic police, 994 for coast guard."
17,🇧🇩,Bangladesh,999,999,999,999,Asia,+880,Emergency numbers only work in Dhaka and Chittagong.
18,🇧🇧,Barbados,-,211,511,311,"Caribbean, North America",+1 246,-
19,🇧🇾,Belarus,-,102,103,101,-,+375,112 is redirected to 101 on mobiles.
20,🇧🇪,Belgium,112,101,100,100,"EU, Europe",+32,"The 101 emergency number is used in over a dozen countries worldwide, most commonly to reach the Police."
21,🇧🇿,Belize,911,-,-,-,North America,+501,-
22,🇧🇯,Benin,-, 117,112,118,Africa,+229,-
23,🇧🇲,Bermuda,911,911,911,911,"British, North America",+1 441,-
24,🇧🇹,Bhutan,-, 113,112,110,Asia,+975,-
25,🇧🇴,Bolivia,-,110,118,119,South America,+591,Emergency calls to the 911 number from mobile phones are redirected to 110 (Police).
26,🇧🇦,Bosnia & Herzegovina,-,122,124,123,Europe,+387,"Dial 112, 911 number or 08 for info about local emergency numbers."
27,🇧🇼,Botswana,997 or 911,-,-,-,Africa,+267,-
28,🇧🇷,Brazil,-,190,192,193,South America,+55,Calls to 112 from mobile phones are redirected to 190 (Police).
29,🇮🇴,British Indian Ocean Territory,-,-,-,-,British,+246,-
30,🇻🇬,British Virgin Islands,999 or 911,-,999,999,"British, Caribbean",+ 1 284,-
31,🇧🇳,Brunei,-, 993,991,995,Asia,+673,-
32,🇧🇬,Bulgaria,112,-,-,-,"EU, Europe",+359,-
33,🇧🇫,Burkina Faso,-,17,112,18,Africa,+226,-
34,🇧🇮,Burundi,-,117,112,118,Africa,+257,-
35,🇰🇭,Cambodia,-,117,119,118,Asia,+855,-
36,🇨🇲,Cameroon,-,17,-,18,Africa,+237,-
37,🇨🇦,Canada,911,911,911,911,North America,+1,The 911 number is the main Canada emergency number. Calls to 112 from mobile phones may be redirected to the 911 number.
38,🇨🇻,Cape Verde / Cabo Verde,-,132,130,131,Africa,+238,-
39,🇰🇾,Cayman Islands,911,-,-,-,"British, Caribbean, North America",+1 345,-
40,🇨🇫,Central African Republic,-,117,1220,118,Africa,+236,-
41,🇹🇩,Chad,-,17, 2251-4242,18,Africa,+235,-
42,🇨🇱,Chile,-,133,131,132,South America,+56,-
43,🇨🇳,China,-,110,120,119,Asia,+86,The 112 number on mobiles lists other emergency numbers.
44,🇨🇽,Christmas Island,000,-,-,-,Asia,+61 891,-
45,🇨🇨,Cocos (Keeling) Islands,000,-,-,-,Asia,+61 891,-
46,🇨🇴,Colombia,112 or 123,156,132,119,South America,+57,-
47,🇰🇲,Comoros,-,17,772-03-73,18,Africa,+269,-
48,🇨🇩,DR Congo / Democratic Republic of the Congo,-,-,-,118,Africa,+243,-
49,🇨🇬,Congo / Congo Republic,-,112,-,118,Africa,+242,-
50,🇨🇰,Cook Islands,-,999,998,996,Oceania,+682,-
51,🇨🇷,Costa Rica,112 or 911,-,-,-,North America,+506,911 and 112 numbers are recognized worldwide as emergency numbers.
52,🇨🇮,Côte d’Ivoire / Ivory Coast,-,111,185,180,Africa,+225,-
53,🇭🇷,Croatia,112,192,194,193,"EU, Europe",+385,“Hrvatska” in Croatian.
54,🇨🇺,Cuba,-,106,104, 105,North America,+53,-
55,🇨🇼,Curaçao / Curacao,-,911,912,911,North America,+599,-
56,🇨🇾,Cyprus,112 or 199,"112,  199","112,  199","112,  199","EU, Europe",+357,-
57,🇨🇾,Northern Cyprus,112,155,112,199,Europe,+357,Dial 158 for Coastguard.
58,🇨🇿,Czechia / Czech Republic,112,158,155,150,"EU, Europe",+420,-
59,🇩🇰,Denmark,112,-,-,-,"EU, Europe",+45,-
60,🇩🇯,Djibouti,-,17,351351,18,Africa,+253,-
61,🇩🇲,Dominica,999,-,-,-,North America,+1 767,-
62,🇩🇴,Dominican Republic,112 or 911,-,-,-,North America,+1 809 / 829 / 849,Emergency calls to 112 from mobile phones are redirected to the 911 number.
63,🇹🇱,East Timor / Timor-Leste,112,-,-,-,Asia,+670,-
64,🇪🇨,Ecuador,911,101,911,102,South America,+593,-
65,🇪🇬,Egypt,-,122,123,180,Africa,+20,Police emergency numbers for tourists is 126.
66,🇸🇻,El Salvador,911,-,-,-,North America,+503,-
67,🇬🇶,Equatorial Guinea,-,114,112,155,Africa,+240,-
68,🇪🇷,Eritrea,-,113,114,116,Africa,+291,-
69,🇪🇪,Estonia,112,-,-,-,"EU, Europe",+372,-
70,🇸🇿,Eswatini (Swaziland),-,999,977,933,Africa,+268,-
71,🇪🇹,Ethiopia,911,991,907,939,Africa,+251,-
72,🇫🇰,Falkland Islands,999,-,-,-,"British, South America",+500,"Dial emergency number and ask for “Fire”, “Police” or “Ambulance”."
73,🇫🇴,Faroe Islands,112,+298 351448,1870,+298 314544,"EU, Europe",+298,The Faroe Islands are part of the Kingdom of Denmark with local emergency numbers.
74,🇫🇯,Fiji,-,911,911,9170,Oceania,+679,-
75,🇫🇮,Finland,112,-,-,-,"EU, Europe",+358,-
76,🇫🇷,France,112,17,15,18,"EU, Europe",+33,Dial 114 emergency number to send a fax or send SMS text.
77,🇬🇫,French Guiana,112,17,15,18,"French, South America",+594,-
78,🇵🇫,French Polynesia,112,17,15,18,"French, Oceania",+689,-
79,🇬🇦,Gabon,-,1730,1300,18,Africa,+241,-
80,🇬🇲,Gambia,-,117 or 112,116,118,Africa,+220,-
81,🇬🇪,Georgia,112,-,-,-,"Asia, Europe",+995,-
82,🇩🇪,Germany,112,110,-,-,"EU, Europe",+49,The 110 emergency number is another popular country code which works in many other countries.
83,🇬🇭,Ghana,999,191,193,192,Africa,+233,-
84,🇬🇮,Gibraltar,199 or 112 or 999,"199, 112, 999","199, 112, 999","199, 112, 999","British, Europe",+350,Emergency number for local hospital is +350 200 79700.
